Time,Data
612,1.453858
200813,1.640765
376811,1.640685
552327,1.658936
726695,1.640708
900971,1.645204
1076932,0.000119
1251670,0.000000
1426575,1.640684
1600573,1.640774
1774515,1.640755
1948458,1.643067
2123752,1.640653
2298898,0.000061
2473192,1.658936
2647560,0.000000
2821521,1.647949
2995278,2.736206
3172757,1.635745
3347848,1.612225
3522623,1.635837
3696380,1.612549
3872378,1.607971
4046265,1.615906
4243392,1.635744
4417946,1.640665
4592184,1.638785
4766441,1.636658
4940402,1.604595
5114511,1.620484
5289472,1.640755
5463840,1.640711
5638264,1.644287
5812076,1.635850
5987630,1.630965
6162572,1.635802
6339385,1.626873
6513271,1.630897
6687010,1.638228
6861193,1.633606
7035839,1.608544
7210114,1.636658
7388483,1.635866
7563425,1.635871
7738312,1.628094
7912624,0.000000
8110233,1.630984
8288564,1.630917
8463821,1.615296
8638245,0.037537
8812446,0.000000
8986333,1.630975
9160775,1.630989
9335477,1.631973
9510160,1.635823
9687232,0.000000
9861193,0.000000
10038468,0.000000
10212633,1.631945
10387279,0.000000
10562202,1.635865
10738237,1.643372
10912439,1.621056
11087585,1.644593
11262564,1.615896
11438562,0.018005
11613337,0.000000
11787187,1.635749
11961370,1.638313
12141498,0.008240
12315736,1.614075
12490493,1.612206
12665417,0.002136
12839544,1.615601
13013246,1.635806
13187336,1.638223
13361260,1.630919
13537351,0.018005
13712293,0.000000
13886105,1.630868
14060474,1.640015
14234583,1.639395
14409358,1.650372
14583282,1.630939
14757835,1.630931
14932241,1.640738
15105905,1.640683
15280236,1.644278
15454104,1.640628
15628528,1.640758
15805248,1.654053
15979153,1.641522
16155299,1.643048
16329112,1.608582
16504091,1.640930
16677997,1.640716
16854494,1.630900
17028455,1.620178
17204175,1.609764
17378173,1.630994
17553356,1.630862
17727095,1.617394
17904852,0.000129
18079312,1.630916
18253236,1.635856
18427049,1.635785
18604195,0.000132
18777859,0.000000
18953394,1.630908
19127411,1.620159
19304223,1.640679
19478128,1.648550
19652145,1.640688
19826031,1.640681
20001011,1.636963
20177342,1.644287
20352358,1.638265
20526689,0.000144
20701372,1.635769
20875426,1.640636
21050238,1.611939
21224088,0.000000
21398364,1.630999
21572510,1.625061
21746285,1.626263
21920413,1.630554
22095762,0.000085
22270297,1.636963
22444258,1.626892
22619052,1.630879
22793087,1.624432
22967011,1.635891
23142120,1.610394
23319303,1.619549
23493134,0.000286
23667058,1.630895
23841482,1.630908
24016461,1.635796
24193977,1.635778
24370827,1.618920
24545288,0.000000
24719434,1.640684
24894431,1.631432
25070133,1.616822
25245001,1.640658
25419369,1.640737
25594441,1.645088
25779476,1.661554
26219489,1.653312
26404709,1.641833
26842259,1.651387
27028720,1.627047
27460159,1.630876
27635916,1.624291
27818265,1.636661
28049466,1.623415
28304259,1.617842
28530256,1.617532
28756420,1.629380
29189489,1.631152
29375172,1.633606
29601688,1.614431
29835370,1.631202
30056886,1.640979
30286068,1.645535
30517213,1.635751
30742322,1.654062
31175038,1.648527
31359851,1.654644
31584089,1.640973
31819882,1.640755
32272636,1.640269
32459467,1.635455
32893887,1.644447
33078996,1.629817
33309456,1.640220
33736747,1.635866
33911412,1.638280
34087965,1.630987
34262130,0.003033
34437553,1.635132
34616125,1.640656
34791716,1.635769
35174433,1.640659
35349746,1.646396
35524206,1.640765
35699445,1.640727
35874165,1.654930
36104644,1.640771
36322437,1.640705
36542453,0.000000
36719747,1.646080
36896152,1.640731
37071521,1.668714
37246259,1.640701
37421701,1.618939
37595903,1.650696
37773975,1.640753
37949639,1.650107
38401578,1.662662
38805943,1.646053
39205550,1.623518
39604267,1.629032
39999929,1.657132
40411146,1.659451
40810085,1.650001
41212710,1.656242
41605075,1.650687
41794073,1.658060
42232901,1.652338
42427195,1.656866
42864615,1.642639
43266258,1.643899
43442626,1.638311
43610643,0.002441
43779307,0.000000
43951509,0.000000
44122822,0.000000
44292153,0.000000
44460651,0.000000
44630426,0.000000
44798535,0.000000
44966793,0.000000
45135809,0.000000
45303177,0.000000
45470212,0.000000
45637229,0.000000
45804375,0.000000
45971317,0.000000
46169389,0.000000
46337368,0.000000
46505403,0.000000
46673845,0.000000
46841343,0.000000
47009323,0.000000
47179228,0.000000
47358189,0.000000
47529687,0.000000
47696073,0.000000
47863238,0.000000
48033106,0.000000
48208030,0.000000
48380269,1.638321
48547674,0.002776
48714190,0.000000
48881374,0.000000
49047205,0.000000
49214295,0.000000
49381497,0.000000
49546884,0.000000
49714085,0.000000
49881361,0.000000
50046915,0.000000
50213838,0.000000
50382281,0.000000
50547019,0.000000
50713332,0.000000
50881145,0.000000
